partner_id,join_date,months_on_platform,weekly_trips,cancel_rate,on_time_rate,avg_rating,earnings_volatility,region,repay_on_time
P100023,2025-01-25 01:30:36.815710,14,26,0.10736431297299026,0.932552087492337,4.370698896020823,0.06899065402245454,South,1
P100024,2022-12-19 01:30:36.815713,29,27,0.03797486080811636,0.9672559786352604,4.183055763979694,0.11772681894403868,South,1
P100025,2023-09-16 01:30:36.815716,10,33,0.10327815567236996,0.8985796734957696,4.072820045191892,0.3248331528577435,Central,0
P100026,2022-12-19 01:30:36.815719,5,30,0.3,0.7886767030816821,4.5874165380682905,0.0947559360130732,East,1
P100027,2024-01-18 01:30:36.815722,8,31,0.22867342409852542,0.8544828706300883,4.2530518611918735,0.07135153276594232,East,1
P100028,2023-04-24 01:30:36.815725,5,34,0.10161069816910598,0.7101927766122049,4.6057242294752285,0.19287250171891224,Central,0
P100029,2023-10-26 01:30:36.815728,24,26,0.116779858134771,0.8185687790832994,4.194795023110805,0.40702633266331384,West,0
P100030,2025-07-13 01:30:36.815731,26,29,0.007923850855314331,0.8466248894190349,4.453708659170292,0.08216904711652895,West,1
P100031,2023-04-15 01:30:36.815734,6,31,0.04830908690889024,0.9278043993760954,4.35087402415944,0.5,Central,0
P100032,2025-02-17 01:30:36.815737,16,33,0.07243993021496223,0.7801661733635904,5.0,0.06102854763344994,Central,1
P100033,2024-07-11 01:30:36.815741,36,30,0.08455307472312415,0.9273952896452378,4.401414537792197,0.05,South,0
P100034,2023-12-11 01:30:36.815744,12,35,0.07758471313312278,0.9150413372092192,4.879439679272723,0.2593954848809919,East,0
P100035,2024-09-21 01:30:36.815746,11,28,0.030434521300440616,0.9116531109604711,5.0,0.20643164696585825,Central,1
P100036,2025-07-20 01:30:36.815750,3,36,0.033877052392553016,0.7462889100845705,4.6206283879214745,0.05,South,1
P100037,2024-12-04 01:30:36.815752,6,29,0.06457169006605278,0.8735973921573527,4.6430088139270795,0.0667376881207826,North,1
P100038,2023-06-18 01:30:36.815755,19,27,0.009996848662073553,0.8394641355794803,4.512614275282358,0.07994513721641859,South,1
P100039,2024-01-16 01:30:36.815758,18,34,0.10293719383273903,0.9296801387160252,4.400950004401166,0.12467480746071682,Central,1
P100040,2023-02-17 01:30:36.815761,16,32,0.12453436058222452,0.7862443162385037,4.239070031419427,0.37066460869882034,South,0
P100041,2025-05-03 01:30:36.815764,23,28,0.08052168444016156,0.9306013506428789,4.42311173067321,0.2541280461043835,East,1
P100042,2022-12-21 01:30:36.815767,9,38,0.14773862999233953,0.8901678545640709,4.238405365068016,0.0726473428700306,East,0
P100043,2024-03-12 01:30:36.815770,3,28,0.03644615875688744,0.8579750752271273,4.559461494056004,0.3078201061403366,South,1
P100044,2023-06-19 01:30:36.815773,8,25,0.18753311523273908,0.954090588793816,4.215749719517798,0.05266708822976401,Central,0
P100045,2025-06-29 01:30:36.815776,4,34,0.11525646951268456,0.9170552082571876,4.976533204629654,0.16731031258177748,East,1
P100046,2025-01-09 01:30:36.815779,12,29,0.03163589053910267,0.9661886946786119,4.699449985403531,0.1482619859709998,East,1
P100047,2022-10-12 01:30:36.815782,31,24,0.13779280656444737,0.9056510400042365,4.811667394295414,0.09249179559605528,West,0
P100048,2022-10-16 01:30:36.815785,25,36,0.07417642197330074,0.965532936040621,4.765855096947194,0.1670949720192932,West,0
P100049,2024-01-15 01:30:36.815788,16,16,0.047483523912704134,0.9546447791516278,4.1969686377776,0.5,North,0
P100050,2023-08-31 01:30:36.815791,14,32,0.029378778354601006,0.8518350271904631,4.463533168928417,0.10455237712116901,South,1
P100051,2024-06-27 01:30:36.815794,13,31,0.16052005251174248,0.7207454216652924,4.5492476407405995,0.06535364808374844,South,1
P100052,2023-08-04 01:30:36.815797,7,37,0.07182819720908411,0.7,4.3441752090518495,0.19714444853548396,South,0
P100053,2025-02-22 01:30:36.815800,12,32,0.17231889088758293,0.8380065309195144,4.9677665075101896,0.19154163995465945,Central,1
P100054,2025-01-13 01:30:36.815803,4,34,0.09853361891483887,0.9287248083573154,4.50360615758314,0.12807784320853002,South,0
P100055,2022-11-11 01:30:36.815806,2,34,0.10617002604630991,0.8928883033520111,4.2752388608317995,0.26491788527540977,Central,1
P100056,2024-11-06 01:30:36.815809,35,36,0.008756234686188073,0.7567060449510364,3.961840307365016,0.06462660430221731,East,0
P100057,2023-05-10 01:30:36.815812,3,28,0.12542094926288622,0.8809909687333874,4.370981642595931,0.5,Central,0
P100058,2024-05-04 01:30:36.815815,4,27,0.064144404216598,0.9901265386689647,4.488772598821677,0.129712168433773,West,1
P100059,2022-10-21 01:30:36.815818,12,19,0.08265174604320068,0.935237685724141,3.979952089145779,0.05,Central,1
P100060,2024-10-11 01:30:36.815821,19,14,0.06504751939092053,0.8951347553788801,4.156563949807646,0.30862680873421455,South,1
P100061,2023-08-14 01:30:36.815823,10,26,0.06433293176983236,0.7639737607557392,4.148428571839068,0.2186706453165332,East,1
P100062,2024-08-30 01:30:36.815826,1,34,0.03900733152620815,0.8568365788737552,4.873228003464072,0.07711546018847718,North,1
P100063,2023-03-08 01:30:36.815829,17,26,0.08048494431650548,0.8773328619844707,4.31843162287737,0.08594651990317154,South,0
P100064,2023-06-03 01:30:36.815832,16,29,0.12008915367706753,0.8831358060794303,4.698275830347247,0.3088226687652946,West,0
P100065,2024-12-29 01:30:36.815835,9,36,0.15435176671519718,0.7508286910269482,4.904116706177134,0.21620411702633133,West,1
P100066,2023-07-01 01:30:36.815838,9,27,0.07207048466761967,0.9607811197349989,4.508774591749447,0.14259657324774946,West,1
P100067,2025-01-27 01:30:36.815841,9,21,0.029338007791780685,0.9742140847028958,4.517651958253871,0.050831360326926645,West,1
P100068,2024-07-19 01:30:36.815844,12,22,0.07660162984974016,0.9000058953898031,4.499433985799934,0.13714597119419988,Central,1
P100069,2024-03-28 01:30:36.815847,15,28,0.09148185697387974,0.9255484723296113,4.077065298140887,0.05,Central,1
P100070,2022-09-03 01:30:36.815850,2,24,0.14626455780580314,0.9004660990038796,4.55128809137449,0.22290674760488788,East,0
P100071,2025-07-19 01:30:36.815852,11,27,0.06987940050269481,0.9712529259898267,4.692839519101933,0.05,South,1
P100072,2025-05-30 01:30:36.815855,11,29,0.1099341721710366,0.8358531117002803,4.945961187996247,0.05,South,1
P100073,2024-02-29 01:30:36.815858,8,34,0.08157981819815584,0.8302189624772733,4.05146598926191,0.3179557096568378,Central,1
P100074,2023-10-25 01:30:36.815861,32,36,0.12579402542570015,0.968078356236749,4.877270899248544,0.216462030241844,West,1
P100075,2023-12-19 01:30:36.815864,6,24,0.1717721901810301,0.9480264924504734,4.246431679048793,0.1592876407292776,East,1
P100076,2024-07-07 01:30:36.815867,20,26,0.05560029723873793,0.8397101253088453,4.2900720380599475,0.2795294040016007,West,0
P100077,2024-06-10 01:30:36.815870,35,38,0.008614455338325814,0.8749840992467668,4.432431250030571,0.37761807311636364,Central,0
P100078,2024-10-18 01:30:36.815873,8,29,0.186063771204267,0.9157191807175942,4.324817933549216,0.17405095404212056,South,1
P100079,2024-07-20 01:30:36.815876,34,21,0.1124207493664517,0.7,4.463197560703183,0.08585995928990053,South,1
P100080,2024-12-15 01:30:36.815879,19,34,0.05001065776754393,0.7593081913578023,4.264784801984505,0.21563925425940053,West,1
P100081,2022-10-20 01:30:36.815882,7,34,0.02292096655319041,0.8787519520323969,4.6968699147058075,0.11572715479288749,North,1
P100082,2025-06-23 01:30:36.815885,31,31,0.053570900721138494,0.8761124597708342,4.272036035812734,0.3967535635459123,South,0
P100083,2022-09-16 01:30:36.815888,18,29,0.11623705335569857,0.8378271702051872,4.773054286697883,0.33009982689677475,East,0
P100084,2025-03-21 01:30:36.815890,14,29,0.1149477151693627,0.9407210470139181,3.89791158519557,0.20869520829294916,West,1
P100085,2025-01-14 01:30:36.815893,36,32,0.08653149788513599,0.8874089038520133,4.291110922767811,0.2519425175100923,East,1
P100086,2023-06-15 01:30:36.815896,17,36,0.10193050671942304,0.9634363624068837,4.8338908120796305,0.25399770664453153,Central,0
P100087,2023-01-16 01:30:36.815899,9,34,0.04990360982819998,0.8380276867902238,4.32446842174774,0.07745603215593849,Central,1
P100088,2022-09-11 01:30:36.815902,20,38,0.1381563405279869,0.9345797428055421,4.406870026698601,0.27024783149609516,West,1
P100089,2024-03-18 01:30:36.815905,28,34,0.06627359464144875,0.9012341866719222,4.510738807070896,0.29932629371597547,Central,0
P100090,2024-06-22 01:30:36.815908,20,27,0.09849826614364562,0.8666835978113404,4.389823356233481,0.0884322711754986,East,1
P100091,2023-05-21 01:30:36.815911,36,41,0.04914667680235334,0.8933325155552508,3.8987599521475764,0.4905598814553844,South,0
P100092,2025-04-26 01:30:36.815913,27,33,0.06385407835832074,0.9392242075160807,4.834163545295316,0.05,West,1
P100093,2023-09-19 01:30:36.815917,8,25,0.061177884000861237,0.7,4.269897721828655,0.0821076293411786,East,1
P100094,2023-08-08 01:30:36.815920,32,29,0.09913510320672486,0.9139612490659293,4.703264186526754,0.08975950878885142,East,1
P100095,2022-12-16 01:30:36.815923,1,22,0.0877311855653007,0.9330728823320603,4.589465585544343,0.05162558071844164,South,1
P100096,2023-11-29 01:30:36.815925,17,24,0.028822810918024782,0.9323659986834053,4.543258073287452,0.21087518139671357,East,1
P100097,2023-10-30 01:30:36.815928,9,29,0.16196446503361928,0.7964512631316504,4.756127981568089,0.22023511949225877,Central,1
P100098,2022-10-09 01:30:36.815931,20,34,0.046133488932134134,0.8468494349286599,4.688374482136785,0.11459246477479751,South,1
P100099,2024-03-18 01:30:36.815934,32,24,0.010932540569318383,0.8439966344228745,4.365585718254244,0.11983840226186276,North,1
P100100,2023-06-28 01:30:36.815937,2,37,0.10834855596266635,0.9028465004577201,4.90216696218188,0.06880353017486401,East,1
P100101,2024-07-01 01:30:36.815940,32,31,0.04575851567253212,0.9457450891415984,4.373175015498776,0.11269657244658104,Central,1
P100102,2023-03-16 01:30:36.815943,9,29,0.06775936265898014,0.9664729361396641,4.3515502029486175,0.05,Central,1
P100103,2023-05-31 01:30:36.815946,30,21,0.017676703345819635,0.9735133091810146,4.932545118965996,0.21395474703823428,South,0
P100104,2024-07-06 01:30:36.815949,20,26,0.1890755831393791,0.9079996651340815,4.068233114178337,0.08559583570065682,Central,1
P100105,2025-01-08 01:30:36.815952,1,32,0.06680517204560124,0.7761650103312048,4.42782105039388,0.2921182882163695,South,0
P100106,2022-09-29 01:30:36.815954,5,21,0.06999957695665218,0.7287349605573601,4.434981290501673,0.12374404760164621,North,1
P100107,2023-02-23 01:30:36.815957,35,37,0.10503291312583768,0.9054737365810318,4.783843613827679,0.23144793968338614,South,0
P100108,2023-03-23 01:30:36.815960,36,34,0.0651050138371032,0.8627213612257079,4.59044555087655,0.1293850855430273,South,1
P100109,2023-07-22 01:30:36.815964,1,25,0.057304034830322176,0.9381456665684716,4.5706685648203615,0.43947601671072906,South,1
P100110,2024-01-17 01:30:36.815967,14,30,0.10128980518833303,0.9412894957238405,4.660804301154785,0.22572159648423243,Central,1
P100111,2022-10-17 01:30:36.815970,9,37,0.022593342045574793,0.8555715595799435,4.583061441331866,0.11936064696563711,North,1
P100112,2025-04-29 01:30:36.815973,30,29,0.0685445115450479,0.838727292549121,4.540774103333444,0.12380110976613089,North,1
P100113,2024-04-05 01:30:36.815975,24,24,0.06196586969317878,0.8761624570820942,4.593186443000064,0.5,South,0
P100114,2024-12-15 01:30:36.815978,4,39,0.15382208240222156,0.9201181519422499,4.4781600806147575,0.09066587220446992,East,1
P100115,2023-07-16 01:30:36.815981,14,29,0.13898042155498275,0.8848338079288119,4.202911307598276,0.22269339188087658,East,0
P100116,2024-02-09 01:30:36.815984,25,32,0.07950414444200389,0.7958268088467524,4.076531087373719,0.2870635694906553,South,0
P100117,2022-09-08 01:30:36.815987,4,28,0.03454104197018201,0.9363843667301784,4.739266381865332,0.1396742804775726,East,0
P100118,2024-02-25 01:30:36.815990,25,20,0.10790587812452104,0.8330763486692045,4.790019024423779,0.10048284469280983,East,0
P100119,2024-01-03 01:30:36.815993,10,27,0.031703798283037064,0.9726722320232801,4.357186779430084,0.05,South,1
P100120,2023-09-21 01:30:36.815996,35,33,0.03172013441154163,0.8987980355141271,4.459072987504746,0.30615492397573885,Central,0
P100121,2024-01-24 01:30:36.815999,7,33,0.05919325087748188,0.7750859069029706,4.879710997037653,0.11414927861091886,South,1
P100122,2022-10-25 01:30:36.816002,13,33,0.10509322263636582,0.9000735031919002,4.995695092689686,0.3099422866130841,West,0
P100123,2023-10-27 01:30:36.816005,4,24,0.07468769319906944,0.8764272955459353,4.39448995361948,0.2037643827905544,East,1
P100124,2023-05-30 01:30:36.816008,36,34,0.046095475379667156,0.828713058649246,4.7012247498939885,0.08214928454393161,South,1
P100125,2022-09-16 01:30:36.816010,14,25,0.18980186601392227,0.7996470031828125,4.5441162789713,0.3458166282215338,Central,0
P100126,2025-01-25 01:30:36.816013,18,31,0.10121278248615447,0.735779521326028,4.749582328549112,0.3893022937421018,North,0
P100127,2023-11-09 01:30:36.816016,8,34,0.07998563430037259,0.8429364687046564,4.349521995017859,0.0800639902814177,Central,0
P100128,2023-11-14 01:30:36.816020,32,26,0.06710268995790256,0.9645387693510813,4.102884002050307,0.05,East,0
P100129,2022-12-04 01:30:36.816023,27,35,0.19989077312008682,0.950756339899352,4.444810873056764,0.07125791306820627,West,0
P100130,2023-08-24 01:30:36.816026,23,33,0.08457972101014176,0.936535445937117,4.076580116944119,0.11817361702881841,West,1
P100131,2023-10-24 01:30:36.816029,7,41,0.07785496028710445,0.9262551973729518,4.935288964971112,0.34933579987996066,East,0
P100132,2024-09-19 01:30:36.816031,12,27,0.12171330482647078,0.9055473234873509,4.459309170278653,0.14662192622924816,West,1
P100133,2023-09-19 01:30:36.816034,25,31,0.02921543696405766,0.9875759483856836,4.656778642136642,0.18889194884357607,North,0
P100134,2023-10-09 01:30:36.816037,3,25,0.061483055725147666,0.7,4.964728640831691,0.05,South,0
P100135,2024-05-18 01:30:36.816040,26,28,0.1631445296215943,0.7661170470579025,5.0,0.14576398074777616,East,1
P100136,2024-01-17 01:30:36.816043,4,34,0.1911380453441966,0.8625688023691502,4.639200273222908,0.11309112916976645,Central,0
P100137,2022-12-25 01:30:36.816046,36,27,0.030521362273683638,0.7565963927897296,4.580805549680273,0.22462543942981228,East,0
P100138,2023-09-04 01:30:36.816049,15,32,0.2023170836744663,0.8822104879428463,4.169003795787257,0.05,East,1
P100139,2025-04-12 01:30:36.816052,32,33,0.12232318046572314,0.8026350145332383,4.4202486251753275,0.08509858751245675,East,0
P100140,2025-08-01 01:30:36.816055,29,31,0.023758126212277936,0.9716653280050401,4.668533096983133,0.20152398811604108,Central,0
P100141,2023-10-31 01:30:36.816058,10,28,0.10985431129340638,0.9573765911876588,4.170379334422494,0.05,Central,1
P100142,2024-12-26 01:30:36.816060,21,34,0.029266767927870984,0.9563545735958479,4.821928352887706,0.05339022967497486,East,1
P100143,2023-04-01 01:30:36.816063,16,26,0.0780496781692001,0.7730816335307591,4.713758788003924,0.09579249709861154,East,1
P100144,2024-07-14 01:30:36.816066,19,26,0.1032230855299121,0.8962550353856049,4.444479184017924,0.39044561580664183,West,1
P100145,2023-08-04 01:30:36.816069,29,30,0.1435401916818316,0.8983390731731047,4.608925432787915,0.1424351704340686,West,1
P100146,2024-11-29 01:30:36.816072,18,28,0.015271591229828147,0.9844016000711459,5.0,0.05,Central,1
P100147,2023-04-20 01:30:36.816075,16,29,0.13227663606734713,0.9182858729851192,5.0,0.5,Central,0
P100148,2025-01-12 01:30:36.816078,1,35,0.02731506035200923,0.7071246079422978,4.318350279434907,0.11211607552937689,West,1
P100149,2025-04-02 01:30:36.816081,2,30,0.14600972034133664,0.8984053899819199,4.724196251546425,0.3186835368276598,South,1
P100150,2024-06-28 01:30:36.816084,15,30,0.11188242921300147,0.8113730485460937,4.175106996105011,0.05,Central,0
P100151,2023-06-28 01:30:36.816087,28,25,0.04562570200789729,0.8930595212215623,4.5697055728222,0.09510930407480445,South,1
P100152,2024-10-13 01:30:36.816090,1,26,0.05945671611066765,0.851119250826737,4.410249292121638,0.05,North,1
P100153,2024-10-27 01:30:36.816093,5,32,0.08184383054539543,0.8040411509584527,4.714591726493115,0.11983522722463756,West,1
P100154,2023-03-03 01:30:36.816096,22,34,0.11059007427650298,0.9684640087561323,4.658200001158373,0.09409080197429542,East,1
P100155,2025-01-17 01:30:36.816098,36,31,0.009528647194724432,0.8363159247993602,4.256794567674461,0.1336991355267755,North,0
P100156,2022-11-25 01:30:36.816101,13,23,0.05170164574112816,0.9008398646954054,4.796626971960349,0.33791968440325304,Central,0
P100157,2023-07-13 01:30:36.816104,1,22,0.04327375399730727,0.8868503630717592,4.441194631774083,0.3343798999854676,North,0
P100158,2025-03-12 01:30:36.816107,16,38,0.05334857782285584,0.8407428730962931,4.287464363596161,0.14913528264361328,North,0
P100159,2023-12-03 01:30:36.816110,22,34,0.15603289565059383,0.9044038929858322,4.623641951361627,0.15720871522625524,Central,1
P100160,2025-01-28 01:30:36.816113,32,25,0.02253092041522549,0.9256137140590998,4.436873366085677,0.39785449466940515,South,0
P100161,2024-04-26 01:30:36.816116,16,34,0.06436754558763949,0.9854148796914661,4.536282384541447,0.43807110421388107,North,1
P100162,2023-10-13 01:30:36.816119,15,35,0.02721184835217834,0.9022917250217448,4.03451902862869,0.14577073509220925,Central,1
P100163,2023-07-01 01:30:36.816122,12,28,0.08469175690046843,0.9821541210534975,4.476359229824186,0.14835733520763592,East,1
P100164,2022-12-22 01:30:36.816125,1,23,0.022461002800233568,0.915748501193335,4.664980458008833,0.4726386393429999,East,0
P100165,2024-06-26 01:30:36.816128,17,39,0.05051029424854769,0.9479375327509014,4.5540485562492465,0.11554017199217957,East,1
P100166,2025-03-09 01:30:36.816131,28,32,0.0041668490603333315,0.9168926274250715,4.577769083104769,0.279820205406495,West,1
P100167,2023-03-23 01:30:36.816133,7,24,0.1494602464591558,0.9501411772055058,4.8786879415237285,0.05,West,1
P100168,2024-04-01 01:30:36.816136,9,29,0.059983087658132046,0.9770623080819544,4.150711339886131,0.37110990638048624,West,0
P100169,2023-01-17 01:30:36.816139,22,31,0.07538756518392271,0.7,4.189715300659942,0.08751914522966625,North,1
P100170,2024-01-30 01:30:36.816142,26,30,0.027287130459308084,0.9093966175841061,4.16660183307458,0.05,West,1
P100171,2024-08-30 01:30:36.816145,12,30,0.07142955426140396,0.9218002491361674,4.628014334933997,0.139680736728,East,0
P100172,2023-03-15 01:30:36.816148,7,37,0.029248894911857802,0.9515697181888084,5.0,0.12915696840581534,West,1
P100173,2023-11-01 01:30:36.816151,15,36,0.015681529672546445,0.7103874848710924,4.581085057435523,0.05,West,1
P100174,2024-04-17 01:30:36.816154,21,34,0.07982891223257765,0.7,4.265065106417635,0.06602131733038388,Central,1
P100175,2025-03-05 01:30:36.816157,14,26,0.11646070922586815,0.9677588887602436,4.096621081955743,0.05019624321889979,West,0
P100176,2024-11-13 01:30:36.816160,2,34,0.08451081352694176,0.9112487991258177,4.72841182589265,0.05,North,1
P100177,2025-03-12 01:30:36.816163,8,32,0.09109913672142245,0.9115937119729628,4.507461398502781,0.1424589330919051,East,1
P100178,2024-08-22 01:30:36.816166,6,26,0.04428252956818954,0.8436729202182126,4.569308135820809,0.09455842851292479,North,1
P100179,2023-11-18 01:30:36.816169,33,38,0.05892361739421408,0.9582638475728935,4.55317437006692,0.17656401579433978,South,1
P100180,2022-10-21 01:30:36.816172,6,33,0.08248031289642196,0.949783088039953,4.5736013072682375,0.3906041758265557,East,0
P100181,2023-03-06 01:30:36.816175,26,30,0.04188662278752005,0.8446299929606225,5.0,0.05,West,1
P100182,2025-08-01 01:30:36.816178,14,27,0.1023936083134569,0.8457060620762564,3.897293922842568,0.05,South,0
P100183,2023-02-18 01:30:36.816181,8,29,0.04972276753733449,0.9213077485881634,4.831590707889949,0.17810649940675183,South,1
P100184,2024-11-22 01:30:36.816184,13,23,0.12440946872311777,0.8011548063235281,4.727131201738349,0.34426464031516746,West,1
P100185,2024-05-07 01:30:36.816187,13,22,0.07943115651982864,0.902917381968992,4.339894891676136,0.23606065573232896,South,0
P100186,2022-09-07 01:30:36.816190,28,35,0.15409794572158292,0.9150686643013342,4.149089532511315,0.3891412075964472,North,0
P100187,2022-10-23 01:30:36.816193,18,36,0.15697867363251633,0.857064373496694,4.2949753825422965,0.17408064647957489,Central,0
P100188,2025-07-25 01:30:36.816196,19,31,0.05347739412142819,0.7845984652265552,5.0,0.11650117720752834,North,1
P100189,2023-05-10 01:30:36.816199,32,22,0.10075802578414697,0.8946911350513451,5.0,0.15297255747100247,East,0
P100190,2025-01-07 01:30:36.816202,22,27,0.03054898245168027,0.9525553363691867,4.612828739651788,0.09067136884995153,North,1
P100191,2024-06-25 01:30:36.816204,2,24,0.10223793955430148,0.9006460815593759,4.27909908726177,0.12135493926124791,Central,1
P100192,2025-03-04 01:30:36.816207,13,32,0.011357548412488164,0.8983012100397285,4.8285740549938065,0.2777556200602339,West,1
P100193,2025-06-10 01:30:36.816210,23,32,0.05374044984421685,0.9611351734109124,4.446461005245807,0.10785831784397089,West,1
P100194,2023-11-14 01:30:36.816213,25,26,0.048734294003574666,0.9253372988172893,4.6143193289806,0.1388163517714127,South,1
P100195,2023-12-25 01:30:36.816216,28,23,0.11200700526064847,0.9692073594735314,4.496194389301359,0.06464343040064223,South,1
P100196,2025-04-21 01:30:36.816219,11,30,0.027672888370089098,0.9347696120619103,4.574519667521775,0.07262133560961918,North,0
P100197,2024-11-22 01:30:36.816222,33,26,0.10929722104318162,0.9453226342095161,5.0,0.05,South,0
P100198,2024-03-11 01:30:36.816225,24,40,0.24740394938031435,0.9516236016246691,4.100309329339612,0.07483780798127211,Central,1
P100199,2025-04-26 01:30:36.816228,2,34,0.19316313477632208,0.836528441505515,4.289133908864349,0.23853518224370474,South,1
P100200,2025-03-03 01:30:36.816231,30,30,0.1340346995411682,0.9526028730188794,4.2829740490296055,0.21212432752199045,South,0
P100201,2023-02-01 01:30:36.816234,17,34,0.07897890663153982,0.9650157047843007,4.853309293146864,0.08687064052185489,North,1
P100202,2023-03-09 01:30:36.816237,34,26,0.16779134135691143,0.920097096243272,4.394974686738652,0.2908292628348419,West,0
P100203,2024-08-30 01:30:36.816239,22,26,0.04967615996642094,0.919720624915539,4.207879569767128,0.08707550154088356,North,1
P100204,2023-05-04 01:30:36.816242,5,41,0.022158402550793186,0.8049901061214586,4.606566477610455,0.08184975924595789,Central,1
P100205,2022-12-20 01:30:36.816245,16,34,0.07658700296226155,0.9655864889126222,4.87478663953391,0.17319469910342228,South,1
P100206,2025-02-23 01:30:36.816248,13,34,0.048592831592018,0.9340985748808477,4.526103511760706,0.5,East,0
P100207,2023-05-25 01:30:36.816251,26,26,0.2042496880389362,0.9197748253416126,4.482678253492631,0.08057734422518786,South,0
P100208,2024-07-01 01:30:36.816254,31,22,0.04226174291771227,0.8176581084094658,4.37986590868465,0.22388405824177224,West,0
P100209,2023-05-10 01:30:36.816257,23,30,0.11438992284822301,0.8084695282957972,4.477486729062244,0.10093782561402267,South,1
P100210,2024-06-28 01:30:36.816260,12,30,0.03281139646377479,0.9442281656523912,4.191547725336985,0.09024605203285183,East,1
P100211,2023-11-02 01:30:36.816263,14,32,0.029314790760337987,0.9374480944199376,4.5103252001627725,0.054293204308560696,North,1
P100212,2022-09-11 01:30:36.816265,18,33,0.018056128655384054,0.9089928545941375,4.339107896606712,0.20083214116786202,South,0
P100213,2023-09-15 01:30:36.816268,27,30,0.07620165452377241,0.9325293849246283,4.449858572463524,0.05,West,1
P100214,2024-04-30 01:30:36.816271,28,42,0.0679749306794394,0.8804067985688719,4.643507907442136,0.13125194094679268,North,0
P100215,2022-12-22 01:30:36.816274,18,33,0.10822152999388092,0.8936990769049672,4.778504975713752,0.3541332539078016,West,0
P100216,2024-04-20 01:30:36.816277,16,29,0.196326274074935,0.835251234364213,4.3323800474518706,0.10792317992559888,West,1
P100217,2022-09-22 01:30:36.816280,16,39,0.057377064383656556,0.8888841545805042,4.3441055468499545,0.08208380520016678,East,1
P100218,2023-07-15 01:30:36.816283,13,33,0.019232344208601686,0.9628140361339935,4.132919310206941,0.19638420099137277,South,0
P100219,2025-06-26 01:30:36.816285,29,26,0.08191707953370939,0.8125452834123158,4.532014089268093,0.14494817737672525,East,0
P100220,2024-12-16 01:30:36.816288,9,21,0.046453996819382566,0.8658938422064756,4.594786499520337,0.18823145280655357,Central,0
P100221,2024-01-18 01:30:36.816291,26,25,0.08471583526637427,0.9855617304714396,4.708586246835044,0.146397077865801,North,1
P100222,2024-05-22 01:30:36.816294,28,27,0.06867169199680723,0.8573085135926303,5.0,0.3769811699013378,Central,1
